store,item,mean_demand,std_demand,min_demand,max_demand
1,1,19.971522453450163,6.7410222048141115,4,50
1,2,53.14895947426068,15.005779398454088,13,115
1,3,33.20810514786418,10.072529304963512,8,70
1,4,19.95618838992333,6.640617856680388,4,43
1,5,16.612814895947427,5.672102368390276,3,37
1,6,53.06078860898138,14.826415753312865,17,104
1,7,52.78368017524644,15.073837512491583,14,115
1,8,69.47207009857613,18.75197999518291,24,137
1,9,46.50492880613363,13.2474956152897,14,94
1,10,66.35432639649507,18.283007318668947,16,131
1,11,63.217962760131435,17.230416731004865,11,124
1,12,63.23384446878423,17.63687215477114,21,133
1,13,76.1593647316539,20.374851875929718,27,139
1,14,53.14895947426068,14.769971072823912,20,107
1,15,79.68072289156626,21.72579883545793,17,154
1,16,23.332420591456735,7.6147377184698835,5,55
1,17,29.972070098576122,9.11682399562141,9,61
1,18,76.34556407447974,21.0531089568771,28,155
1,19,36.67688937568455,11.10061986993504,11,75
1,20,42.89047097480832,12.181551157384636,11,87
1,21,36.1763417305586,10.840796057378663,9,74
1,22,72.78148959474261,19.808007435050463,25,143
1,23,26.46987951807229,8.46073423328603,5,55
1,24,60.0,16.642839589115844,18,121
1,25,72.73603504928806,19.7993879647175,24,143
1,26,43.23603504928806,12.848906331450442,12,96
1,27,20.05093099671413,6.640278233867997,1,48
1,28,79.56681270536693,21.460002283316964,32,155
1,29,63.08652792990142,17.27708639482617,19,124
1,30,36.31818181818182,10.938035594429483,13,72
1,31,53.008214676889374,14.95400943678759,15,106
1,32,39.83789704271632,11.464107598378614,13,81
1,33,62.755750273822564,17.178148984470695,23,123
1,34,23.274917853231106,7.499406049090722,5,48
1,35,59.49507119386637,16.482759039571405,20,115
1,36,69.30996714129245,19.17064763482564,24,151
1,37,26.424424972617743,8.312725700591358,8,62
1,38,73.34446878422781,19.948156493046685,19,150
1,39,39.69496166484118,11.78345935314825,13,86
1,40,26.44359255202629,8.20880549710112,7,57
1,41,20.00273822562979,6.684883224925373,3,42
1,42,33.10569550930997,9.623902912510415,7,71
1,43,46.24260679079956,13.34510376975674,15,98
1,44,26.59419496166484,8.364186487527249,7,58
1,45,72.72070098576123,19.7303404146561,25,135
1,46,52.84501642935378,14.93241650978328,15,109
1,47,19.81434830230011,6.554390521574377,4,44
1,48,46.5460021905805,13.416420848807777,13,94
1,49,26.461664841182913,8.29919344286707,7,53
1,50,59.34282584884995,16.380064579440493,19,111
2,1,28.173603504928806,8.6810127459478,6,58
2,2,75.31653888280394,20.33226790341633,26,150
2,3,46.99233296823658,13.546306025549484,16,94
2,4,28.234939759036145,8.655292492651848,7,66
2,5,23.54052573932092,7.757471028920607,3,50
2,6,74.94523548740416,20.31921317035493,24,148
2,7,75.05859802847755,20.456364920469728,28,139
2,8,99.09036144578313,26.278863743512723,35,181
2,9,65.47809419496167,18.191487152079485,21,127
2,10,94.09748083242059,24.92727667470801,33,175
2,11,89.30996714129245,24.163105109792117,37,167
2,12,89.35049288061336,24.078885021248897,26,170
2,13,107.90306681270536,28.47970527423545,38,210
2,14,75.35980284775465,20.077174520540325,25,152
2,15,112.578860898138,29.676051356715117,44,231
2,16,32.95016429353779,9.843778786366071,8,68
2,17,42.568455640744794,12.276136624995903,11,83
2,18,108.1171960569551,28.581274836103475,39,208
2,19,51.81982475355969,14.432644169475548,17,99
2,20,60.97809419496166,16.97613350895492,19,118
2,21,51.75629791894852,14.69314540724072,16,109
2,22,103.00985761226725,27.06205777961805,34,214
2,23,37.56900328587076,11.089123526909509,11,81
2,24,84.78258488499452,22.555607828050007,32,156
2,25,103.42606790799562,27.69147556057566,38,193
2,26,61.10350492880613,17.03288419126739,20,119
2,27,28.338992332968235,8.836200874140442,6,59
2,28,112.63800657174151,29.526526010870963,43,206
2,29,88.973713033954,23.452998619221862,33,173
2,30,51.825301204819276,14.838773184979061,16,115
2,31,75.27656078860898,20.380803979487027,27,158
2,32,56.7552026286966,15.876191799940827,18,119
2,33,89.31161007667032,24.056323109956264,32,169
2,34,33.09145673603505,9.781439699200009,8,79
2,35,84.66265060240964,22.91380146132052,28,168
2,36,98.77053669222344,25.99461329735309,40,188
2,37,37.359255202628695,10.991711163157817,8,74
2,38,103.24917853231106,27.084663038841015,36,188
2,39,56.164293537787515,15.769516491552615,18,112
2,40,37.57064622124863,11.073091823924942,9,74
2,41,28.069550930996716,8.513781479806589,5,59
2,42,47.36801752464403,13.564916315369606,14,96
2,43,65.78532311062432,17.806260968444878,21,126
2,44,37.785870755750274,11.121034628755176,12,78
2,45,103.38116100766703,27.366740257019277,32,205
2,46,75.21960569550932,20.568588075171416,28,150
2,47,28.187842278203725,8.623592046243944,5,61
2,48,66.02847754654984,18.064276700011135,18,128
2,49,37.71193866374589,11.18498209714685,10,77
2,50,84.62212486308871,22.877772500961928,29,164
3,1,25.07009857612267,7.897390843010359,4,52
3,2,66.80449069003286,18.47746058541778,19,131
3,3,41.7710843373494,11.909759167435247,14,79
3,4,25.116100766703177,7.981533022570805,3,54
3,5,20.857612267250822,6.841332049638906,3,43
3,6,67.00711938663746,18.51132060071489,24,136
3,7,66.64786418400877,18.324899994798123,22,123
3,8,87.51752464403067,23.59180191032694,31,178
3,9,58.486856516977,15.819567986003419,16,108
3,10,83.38773274917854,22.43318829554403,29,158
3,11,79.29134720700986,21.377327681138716,30,169
3,12,79.08378970427164,21.305477849543646,23,155
3,13,96.21467688937568,25.708032396050186,34,186
3,14,66.84118291347207,18.37204462182285,21,126
3,15,100.42332968236583,26.84261349539768,41,196
3,16,29.142935377875137,8.881493576305653,5,61
3,17,37.75301204819277,11.014103248773782,10,70
3,18,96.0909090909091,25.547237033577858,30,176
3,19,45.85432639649507,13.180833964956966,15,92
3,20,54.24370208105148,15.028312140554428,14,112
3,21,45.95564074479737,13.114989999428563,12,92
3,22,91.84556407447974,24.491770483321005,28,183
3,23,33.38992332968237,9.936907117539716,7,71
3,24,75.1538882803943,20.356248509146813,26,146
3,25,91.8395399780942,24.18567429725542,36,181
3,26,54.19496166484118,15.357807235879088,15,105
3,27,25.09090909090909,8.026835439517933,6,53
3,28,100.1434830230011,26.219791828562155,37,189
3,29,79.68181818181819,21.508254374231498,28,153
3,30,45.948521358159915,13.15115831155976,15,85
3,31,66.97426067907996,18.42787926986206,21,136
3,32,50.039430449069,14.459185088685278,15,97
3,33,79.12924424972618,21.167039489347523,26,151
3,34,29.092004381161008,8.837979787257979,6,64
3,35,74.62322015334064,19.878573519912717,25,143
3,36,87.75848849945235,23.733480119671167,28,163
3,37,33.4408543263965,10.04401579534419,8,68
3,38,91.87185104052574,24.760640586834672,28,182
3,39,50.17305585980285,14.253119136608579,17,104
3,40,33.56900328587076,10.26535083269662,9,67
3,41,24.98904709748083,7.956449299005421,5,55
3,42,41.7973713033954,12.325828264308907,12,87
3,43,58.19769989047097,15.954655443569925,18,112
3,44,33.38608981380066,10.173745600877837,6,70
3,45,91.85104052573932,24.468570648929287,32,169
3,46,66.74808324205915,18.246863018685044,23,129
3,47,25.120481927710845,7.956026198015487,5,55
3,48,58.700985761226725,16.47205584270759,18,117
3,49,33.25958378970427,10.157147622569735,11,68
3,50,74.95837897042716,19.909890662500903,25,147
4,1,22.93866374589266,7.348809626448035,4,54
4,2,61.715224534501644,17.163227923210616,13,133
4,3,38.54819277108434,11.3758759177708,9,80
4,4,23.086527929901425,7.432042016893025,6,54
4,5,19.525191675794087,6.621068124851542,4,49
4,6,61.27053669222344,16.89156967124068,22,113
4,7,61.62541073384447,17.121288213951008,19,117
4,8,80.81982475355969,21.98978246348033,26,155
4,9,54.04381161007667,15.17710054196546,16,111
4,10,77.04764512595838,20.800248350388312,26,154
4,11,73.40087623220154,20.32430973871155,25,145
4,12,73.10295728368017,19.882705970997375,24,150
4,13,88.60460021905806,23.66821487279393,30,169
4,14,61.75684556407448,17.017509748611335,20,127
4,15,92.6538882803943,24.40032851107405,36,180
4,16,27.176889375684556,8.414725017089681,5,63
4,17,34.55202628696605,10.452123268667407,7,70
4,18,88.50164293537787,23.637334006675143,32,166
4,19,42.43592552026287,12.375074446398365,11,89
4,20,50.02245345016429,14.01361528566214,18,96
4,21,42.29463307776561,12.135704988336032,11,93
4,22,84.6341730558598,22.342926650024857,33,151
4,23,30.737130339539977,9.346007060756731,7,64
4,24,69.11938663745893,18.834447800568686,24,137
4,25,85.02245345016429,22.64351586293122,31,156
4,26,49.90197152245345,14.326284931781363,13,99
4,27,23.11171960569551,7.334109061519842,4,48
4,28,92.552573932092,24.77253730101431,29,186
4,29,73.24370208105148,20.267019603339662,27,144
4,30,42.48849945235487,12.17084453544732,9,95
4,31,61.30887185104053,16.625871838728198,14,116
4,32,46.06297918948521,13.4015692680221,13,93
4,33,73.37842278203723,19.53755091643753,26,141
4,34,27.001095290251918,8.602898454206038,5,58
4,35,68.97042716319825,19.151514165494337,25,143
4,36,81.02683461117196,21.848741352470448,29,158
4,37,30.736582694414018,9.373886674379879,7,65
4,38,84.57447973713035,22.751238060615993,25,173
4,39,46.168127053669224,13.248052531878413,15,99
4,40,30.555312157721797,9.45040155621639,8,62
4,41,23.168127053669224,7.40719328259809,6,57
4,42,38.539978094194964,11.126509910751025,12,83
4,43,54.01861993428258,15.189206097594358,15,108
4,44,30.95235487404162,9.280790438527216,7,71
4,45,84.68729463307777,22.829642413576522,30,169
4,46,61.42004381161008,17.072622101561816,21,119
4,47,23.1144578313253,7.48035155254936,4,53
4,48,53.76560788608981,15.28128374753698,9,103
4,49,30.840635268346112,9.391007790553711,7,67
4,50,68.92168674698796,18.84011751708134,23,142
5,1,16.739320920043813,5.772960910623246,3,40
5,2,44.48849945235487,12.644653610328955,9,87
5,3,27.835706462212485,8.662269370743598,8,59
5,4,16.776560788608982,5.7014699763632235,2,40
5,5,14.086527929901424,5.157270627152052,2,33
5,6,44.56462212486309,12.992956460450403,14,97
5,7,44.53559693318729,12.855278457459367,13,98
5,8,58.565717415115,16.577697741741485,18,120
5,9,38.83734939759036,11.438476112007995,10,84
5,10,55.509857612267254,15.561707878292282,20,115
5,11,52.9802847754655,15.140317042190254,15,109
5,12,53.049288061336256,14.845460799253761,18,117
5,13,64.3959474260679,17.614575689420686,24,127
5,14,44.91237677984666,12.997955166571627,13,87
5,15,66.98740416210296,18.345074517868618,20,129
5,16,19.38937568455641,6.252326860590423,4,44
5,17,25.06736035049288,8.038629838844864,4,54
5,18,64.08050383351588,17.41158748062128,23,130
5,19,30.704819277108435,9.383807025727268,8,66
5,20,36.34775465498357,10.749709796505554,9,70
5,21,30.491785323110623,9.445108229576263,7,71
5,22,61.38828039430449,16.899083369815234,20,121
5,23,22.348849945235486,7.211968081470972,5,49
5,24,50.14676889375684,14.286360310593267,16,110
5,25,61.20043811610077,17.241279545204712,18,123
5,26,36.35596933187295,10.762049505230475,10,79
5,27,16.763417305585982,5.848488683178539,3,44
5,28,66.98083242059145,18.130762915813442,22,127
5,29,52.775465498357065,14.883362796739075,16,99
5,30,30.738773274917854,9.223507633740192,6,63
5,31,44.698247535596934,12.76872751712705,14,92
5,32,33.25739320920044,10.064096641076056,8,70
5,33,53.15717415115005,15.192101246508834,15,121
5,34,19.64841182913472,6.5748495641649205,2,49
5,35,50.1829134720701,14.26586897036533,13,103
5,36,58.565717415115,16.308340817653995,16,117
5,37,22.289156626506024,7.061969351671529,4,47
5,38,61.34830230010953,16.76523604313369,22,118
5,39,33.232201533406354,10.114184981278843,9,73
5,40,22.109529025191677,7.212245833985544,5,51
5,41,16.830777656078862,5.922361168138805,3,39
5,42,27.730558598028477,8.496685407891356,5,55
5,43,39.1631982475356,11.375565424387142,11,79
5,44,22.41511500547645,7.405120140020437,4,63
5,45,61.427163198247534,17.085230547237412,18,118
5,46,44.734939759036145,12.803118430992232,11,95
5,47,16.69934282584885,5.873084145157864,3,40
5,48,39.28148959474261,11.462465592145742,8,79
5,49,22.37185104052574,7.33557715066888,5,52
5,50,50.31927710843374,14.29042905010363,12,104
6,1,16.717962760131435,5.626928933018663,2,37
6,2,44.53395399780942,12.501975621457854,14,91
6,3,27.81106243154436,8.462773163115427,8,61
6,4,16.754107338444687,5.856016421254839,0,39
6,5,13.893209200438116,5.187877111908688,2,36
6,6,44.50383351588171,12.808183881300264,12,89
6,7,44.59912376779847,12.809297962819405,11,94
6,8,58.3855421686747,16.349380254070606,18,114
